OBJECTID,Date,SurveyType,SpeciesName,Stage,Activity,AirTempF,Number of Individuals,SiteSubClass,Alive_Dead,Lon,Lat
1,,Active,Northern Spring Peeper,Adult,,,1,Field,Alive,-75.15469392,44.58974989
2,,Active,Northern Leopard Frog,Unkown,Moving,66,3,Field,Alive,-75.15619548,44.58232335
3,,Active,Northern Spring Peeper,Jevenile,Moving ,66,1,Field,Alive,-75.1567688,44.58245051
4,,Active,Unidentified Species,Unkown,Basking,66,1,Field,Alive,-75.15730449,44.58251077
5,,Active,Northern Leopard Frog,Jevenile,Basking,51,1,Golf Course,Alive,-75.15549376,44.58949376
6,,Active,Northern Leopard Frog,Adult,Thermoregulating,51,1,Golf Course,Alive,-75.15330025,44.59093179
7,,Active,Bullfrog,Adult,Swimming,51,1,Golf Course,Alive,-75.15296294,44.59098316
8,,Active,Bullfrog,Jevenile,Swimming,51,1,Golf Course,Alive,-75.15286947,44.5909353
9,,Active,Bullfrog,Adult,Thermoregulating,51,2,Golf Course,Alive,-75.15269764,44.59088025
10,,Active,Bullfrog,Adult,Moving,51,1,Golf Course,Alive,-75.15268387,44.59088328
11,,Auditory,Unidentified Species,Unkown,Moving,51,1,Golf Course,Alive,-75.15260417,44.59085611
12,,Active,Bullfrog,Jevenile,Basking,51,1,Golf Course,Alive,-75.15258985,44.59084543
13,,Active,Bullfrog,Unkown,Moving,50,1,Golf Course,Alive,-75.15230094,44.59121708
14,,Active,Bullfrog,Unkown,Moving,50,1,Golf Course,Alive,-75.15232064,44.59119192
15,,Active,Bullfrog,Adult,Moving,50,2,Golf Course,Alive,-75.1523096,44.59118275
16,,Active,Bullfrog,Jevenile,Moving,50,1,Golf Course,Alive,-75.15224155,44.59124877
17,,Active,Bullfrog,Metamorph,Moving,50,1,Golf Course,Alive,-75.15215014,44.591283
18,,Active,Bullfrog,Unkown,Moving,50,1,Golf Course,Alive,-75.15211264,44.59127737
19,,Active,Bullfrog,Unkown,Moving,50,1,Golf Course,Alive,-75.15203365,44.59131192
20,,Active,Bullfrog,Jevenile,Moving,50,1,Golf Course,Alive,-75.15221274,44.59130081
21,,Other,Bullfrog,Jevenile,Moving,50,1,Golf Course,Alive,-75.15235916,44.59124603
22,,Active,Bullfrog,Adult,Moving,50,1,Golf Course,Alive,-75.15249936,44.59124407
23,,Active,Northern Leopard Frog,Metamorph,Moving,58,1,Golf Course,Alive,-75.1558245,44.59001874
24,,Active,Northern Leopard Frog,Unkown,Moving,57,1,Golf Course,Alive,-75.15449094,44.5908353
25,,Active,Unidentified Species,Adult,Basking,57,1,Golf Course,Alive,-75.15425993,44.5908537
26,,Active,Unidentified Species,Unkown,Moving,57,1,Golf Course,Alive,-75.15414954,44.59080114
27,,Active,Northern Leopard Frog,Metamorph,Moving,53,1,Golf Course,Alive,-75.15385433,44.59052898
28,,Active,Northern Leopard Frog,Metamorph,Basking,53,1,Golf Course,Alive,-75.15364604,44.59092021
29,,Active,Northern Leopard Frog,Adult,Thermoregulating ,53,1,Golf Course,Alive,-75.15348586,44.59078488
30,,Active,Northern Leopard Frog,Adult,Thermoregulating ,53,1,Golf Course,Alive,-75.15352668,44.59082562
31,,Active,Northern Leopard Frog,Jevenile,Thermoregulating,53,1,Golf Course,Alive,-75.15360883,44.59070601
32,,Active,Northern Leopard Frog,Metamorph,Thermoregulating ,53,1,Golf Course,Alive,-75.15371016,44.59065962
33,,Active,Northern Leopard Frog,Adult,Thermoregulating ,53,1,Golf Course,Alive,-75.15393388,44.59075752
34,,Active,American Toad,Adult,Thermoregulating ,53,1,Golf Course,Alive,-75.15388719,44.59065144
35,,Active,Northern Leopard Frog,Metamorph,Thermoregulating ,53,1,Golf Course,Alive,-75.15398333,44.59072034
36,,Active,Bullfrog,Adult,Moving,76,1,Golf Course,Alive,-75.15557882,44.59090391
37,,Active,Unidentified Species,Unkown,Moving,76,1,Golf Course,Alive,-75.15168903,44.59173879
38,,Active,Bullfrog,Tadpole,Moving,73,6,Golf Course,Alive,-75.15173882,44.59160526
39,,Active,Green Frog,Adult,Basking,76,1,Golf Course,Alive,-75.15142987,44.59166628
40,,Active,Green Frog,Adult,In water ,76,1,Golf Course,Alive,-75.15157839,44.59173112
41,,Active,Northern Leopard Frog,Adult,Basking,72,3,Golf Course,Alive,-75.15154679,44.59175224
42,,Active,Unidentified Species,Unkown,Dead,64,1,Road,Dead,-75.15941248,44.58383237
43,,Active,Northern Leopard Frog,Adult,Thermoregulating,68,1,Road,Alive,-75.16019608,44.58339531
44,,Active,Unidentified Species,Unkown,Thermoregulating,68,1,Road,Alive,-75.16102069,44.58278574
45,,Active,Northern Leopard Frog,Adult,Thermoregulating,68,1,Road,Alive,-75.16131414,44.5827344
46,,Active,American Toad,Adult,Dying,68,1,Road,Dead,-75.16272867,44.58215752
47,,Active,Unidentified Species,Metamorph,Moving,79,1,Little River Bridge,Alive,-75.15754916,44.58363805
48,,Active,Northern Leopard Frog,Adult,Moving ,75,1,Field,Alive,-75.15736057,44.58347335
49,,Active,Northern Spring Peeper,Adult,Moving,78,1,Little River Bridge ,Alive,-75.15771462,44.5836738
50,,Active,Northern Spring Peeper,Adult,Moving,78,1,Little River Bridge,Alive,-75.15766483,44.58350432
51,,Active,Northern Spring Peeper,Jevenile,Moving,79,1,Little River Bridge,Alive,-75.15765997,44.58348986
52,,Active,Northern Leopard Frog,Adult,Moving,78,1,Little River Bridge,Alive,-75.15760046,44.58354149
53,,Active,Pickeral Frog,Adult,Moving,78,1,Road,Alive,-75.155006,44.58158939
54,,Active,Northern Spring Peeper,Adult,Moving,78,1,Nature Trail,Alive,-75.15507591,44.5814995
55,,Active,Northern Leopard Frog,Adult,Moving,78,1,Nature Trail,Alive,-75.15512553,44.58142372
56,,Active,Pickeral Frog,Adult,Thermoregulating,65,1,Road,Alive,-75.16315564,44.5824363
57,,Active,Northern Leopard Frog,Metamorph,Thermoregulating,65,1,Road,Alive,-75.16363744,44.58247494
58,,Active,Northern Leopard Frog,Adult,Thermoregulating,65,1,Road,Alive,-75.16384883,44.58254518
59,,Active,Northern Leopard Frog,Adult,Dead,65,1,Road,Alive,-75.16395151,44.58275506
60,,Active,Northern Leopard Frog,Metamorph,Thermoregulating,65,1,Road,Alive,-75.16418645,44.58270201
61,,Active,Northern Leopard Frog,Metamorph,Thermoregulating,65,1,Road,Alive,-75.16417991,44.58281181
62,,Active,Northern Leopard Frog,Metamorph,Thermoregulating,65,1,Road,Alive,-75.16414546,44.58284785
63,,Active,American Toad,Adult,Thermoregulating,65,1,Road,Alive,-75.16450404,44.58324071
64,,Incidental,Northern Leopard Frog,Adult,Thermoregulating,65,1,Road,Alive,-75.16424487,44.58331133
65,,Incidental,Northern Leopard Frog,Metamorph,Basking,65,1,Road,Alive,-75.16401622,44.58347394
66,,Incidental,Northern Leopard Frog,Adult,Basking,65,1,Road,Alive,-75.16407397,44.58348446
67,,Incidental,Northern Leopard Frog,Adult,Basking,65,1,Road,Alive,-75.16377146,44.58358039
68,,Incidental,Northern Leopard Frog,Metamorph,Basking,65,1,Road,Alive,-75.1637552,44.58365784
69,,Incidental,Northern Leopard Frog,Adult,Basking,65,1,Road,Alive,-75.16371975,44.58364334
70,,Incidental,Northern Leopard Frog,Adult,Basking,65,1,Road,Alive,-75.16369871,44.58365654
71,,Incidental,Northern Leopard Frog,Adult,Basking,65,1,Road,Alive,-75.16349109,44.58376328
72,,Active,Green Frog,Adult,Moving,75,1,Nature Trail,Alive,-75.15523022,44.58124049
73,,Active,Northern Spring Peeper,Adult,Moving,75,1,Nature Trail,Alive,-75.15606975,44.58106665
74,,Active,Northern Leopard Frog,Jevenile,Basking,75,1,Nature Trail,Alive,-75.1556587,44.58105157
75,,Active,Northern Leopard Frog,Jevenile,Moving,75,1,Nature Trail,Alive,-75.15652799,44.58061852
76,,Active,Northern Spring Peeper,Jevenile,Moving,73,1,Nature Trail,Alive,-75.15700215,44.58027343
77,,Active,Northern Spring Peeper,Jevenile,Moving,75,1,Nature Trail,Alive,-75.15764739,44.57929946
78,,Active,Northern Spring Peeper,Adult,Moving,75,1,Little River Bridge,Alive,-75.15831568,44.58433505
79,,Active,Northern Leopard Frog,Jevenile,Moving,70,1,Facilities Pond,Alive,-75.15844376,44.58636523
80,,Active,Unidentified Species,Unkown,Moving,70,1,Facilities Pond,Alive,-75.15806205,44.58595959
